id,name,part_count,imageUrl
74,Animal Accessories,68,https://rebrickable.com/media/parts/elements/6334630.jpg?1659533686.1040955
75,Animal Body Parts,916,https://rebrickable.com/media/parts/elements/6228294.jpg?1528553691.3466818
28,Animals,837,https://rebrickable.com/media/parts/elements/6139581.jpg?1464618362.4470375
32,"Ladders and Fences",134,https://rebrickable.com/media/parts/elements/6066113.jpg?1634339720.199645
1,Baseplates,243,https://rebrickable.com/media/parts/elements/609828.jpg?1429959616.4867635
42,"Belville, Scala and Fabuland",662,https://rebrickable.com/media/parts/elements/4521029.jpg?1429959611.1135838
11,Bricks,1723,https://rebrickable.com/media/parts/elements/300123.jpg?1429959606.847039
37,Bricks Curved,843,https://rebrickable.com/media/parts/elements/4629913.jpg?1634339779.510093
20,Bricks Round and Cones,551,https://rebrickable.com/media/parts/elements/6055404.jpg?1429959614.9934728
3,Bricks Sloped,595,https://rebrickable.com/media/parts/elements/329821.jpg?1634339795.9856617
5,Bricks Special,263,https://rebrickable.com/media/parts/elements/6175968.jpg?1634340694.326311
6,Bricks Wedged,312,https://rebrickable.com/media/parts/elements/656421.jpg?1634340715.6857574
48,Clikits,412,https://rebrickable.com/media/parts/elements/4260444.jpg?1454228592.6537206
7,Containers,188,https://rebrickable.com/media/parts/elements/6035703.jpg?1429959614.586818
4,"Duplo, Quatro and Primo",5105,https://rebrickable.com/media/parts/elements/6018595.jpg?1429959613.553514
45,Electronics,507,https://rebrickable.com/media/parts/elements/4506078.jpg?1429959610.8269253
69,Energy Effects,84,https://rebrickable.com/media/parts/elements/4548009.jpg?1429959611.5335717
38,"Flags, Banners and Signs",344,https://rebrickable.com/media/parts/elements/6365459.jpg?1630470527.0161948
17,Gear Parts,3861,https://rebrickable.com/media/thumbs/parts/photos/1/4962-1-e11e5601-2a72-4e48-a9df-fce1a49aa5db.jpg/250x250p.jpg?1658325830.8918002
18,"Hinges, Arms and Turntables",226,https://rebrickable.com/media/parts/elements/4210723.jpg?1429959608.9336462
50,HO Scale,96,https://rebrickable.com/media/parts/ldraw/80/723.png?1554683631.4156942
41,Large Buildable Figures,1398,https://rebrickable.com/media/parts/elements/4255129.jpg?1429959610.0436144
39,Magnets and Holders,34,https://rebrickable.com/media/parts/elements/4589495.jpg?1429959612.0635567
44,Mechanical,26,https://rebrickable.com/media/parts/elements/6143751.jpg?1482059405.6527205
62,Minidoll Heads,442,https://rebrickable.com/media/parts/elements/6174326.jpg?1482698306.0641456
64,Minidoll Lower Body,515,https://rebrickable.com/media/parts/elements/6174254.jpg?1482696374.1973512
63,Minidoll Upper Body,744,https://rebrickable.com/media/parts/elements/6214887.jpg?1520769197.227705
27,Minifig Accessories,682,https://rebrickable.com/media/parts/elements/6096091.jpg?1634341995.3284464
59,Minifig Heads,5081,https://rebrickable.com/media/parts/elements/6044592.jpg?1455612473.0271182
65,Minifig Headwear,2098,https://rebrickable.com/media/parts/elements/448521.jpg?1429959610.6435971
72,Minifig Headwear Accessories,154,https://cdn.rebrickable.com/media/thumbs/parts/elements/4624783.jpg/85x85p.jpg?1658329833.2999697
70,Minifig Hipwear,121,https://rebrickable.com/media/parts/elements/6275189.jpg?1567324730.087012
61,Minifig Lower Body,3010,https://rebrickable.com/media/parts/elements/4569107.jpg?1429959611.7902312
71,Minifig Neckwear,587,https://rebrickable.com/media/parts/elements/6117766.jpg?1436003316.107993
13,Minifigs,570,https://rebrickable.com/media/parts/elements/6154171.jpg?1465301419.3889573
73,"Shields, Weapons, & Tools",513,https://rebrickable.com/media/parts/elements/4609050.jpg?1634340688.9184513
60,Minifig Upper Body,7328,https://rebrickable.com/media/parts/elements/6116991.jpg?1430520273.6474535
66,Modulex,1181,https://rebrickable.com/media/parts/photos/1031/1121M-1031-94830b53-8931-4abb-9f82-caed8156db75.jpg?1646934612.5826085
57,"Non-Buildable Figures (Duplo, Fabuland, etc)",1224,https://rebrickable.com/media/parts/elements/6137858.jpg?1429959617.1034126
77,Non-System Parts,315,https://rebrickable.com/media/parts/elements/6339274.jpg?1692287433.9486132
24,Other,29,https://cdn.rebrickable.com/media/thumbs/parts/photos/1059/1954c-1059-60a620cd-13dd-4136-8ec1-0b255431f889.jpg/85x85p.jpg?1691040412.6874647
23,Panels,383,https://rebrickable.com/media/parts/elements/6138696.jpg?1464618334.7470384
78,Pen & Watch,570,https://rebrickable.com/media/parts/photos/0/upn0437-0-99dd2a9b-b844-4380-b484-2785a1a5f4a7.jpg?1615310780.095265
76,Plants & Trees,127,https://rebrickable.com/media/parts/elements/6023832.jpg?1429959614.2634938
14,Plates,128,https://rebrickable.com/media/parts/elements/6206809.jpg?1543753183.061381
49,Plates Angled,77,https://rebrickable.com/media/parts/elements/4543262.jpg?1429959611.4735734
21,Plates Round Curved,345,https://cdn.rebrickable.com/media/thumbs/parts/elements/6560535.jpg/85x85p.jpg?1757912256.8320591
9,Plates Special,446,https://rebrickable.com/media/parts/elements/6193782.jpg?1516085100.433967
22,Pneumatics,31,https://rebrickable.com/media/parts/elements/6005292.jpg?1634342292.2247028
68,Projectiles & Launchers,213,https://rebrickable.com/media/parts/elements/6051331.jpg?1429959614.9001422
33,Rock,55,https://rebrickable.com/media/parts/elements/4516816.jpg?1429959610.9669213
58,Stickers,4385,https://rebrickable.com/media/parts/photos/9999/19074-9999-ed0ac8a4-d41d-42f4-a1ab-f6db623bafe0.jpg?1485873812.7531483
31,"String, Bands and Reels",116,https://rebrickable.com/media/parts/elements/6132951.jpg?1464456801.503357
34,"Supports, Girders and Cranes",77,https://rebrickable.com/media/parts/elements/4542618.jpg?1429959611.466907
46,Technic Axles,27,https://rebrickable.com/media/parts/elements/4211815.jpg?1429959609.2469704
51,Technic Beams,50,https://rebrickable.com/media/parts/elements/4141628.jpg?1429959607.3303585
55,Technic Beams Special,40,https://rebrickable.com/media/parts/elements/4503381.jpg?1429959610.8002594
8,Technic Bricks,28,https://rebrickable.com/media/parts/elements/4113840.jpg?1634340041.4192386
54,Technic Bushes,7,https://rebrickable.com/media/parts/elements/4211622.jpg?1634340712.045852
12,Technic Connectors,116,https://rebrickable.com/media/parts/elements/4125195.jpg?1429959607.250361
52,Technic Gears,99,https://rebrickable.com/media/parts/elements/4514556.jpg?1429959610.9569216
40,Technic Panels,152,https://rebrickable.com/media/parts/elements/6132961.jpg?1463933275.1920433
53,Technic Pins,34,https://rebrickable.com/media/parts/elements/4206482.jpg?1634340079.5942395
26,Technic Special,201,https://rebrickable.com/media/parts/elements/4498096.jpg?1429959610.7135952
25,"Technic Steering, Engine",122,https://rebrickable.com/media/parts/elements/4142622.jpg?1634340462.8843
19,Tiles,3285,https://rebrickable.com/media/parts/elements/6167572.jpg?1484985478.202539
67,Tiles Round and Curved,1124,https://rebrickable.com/media/parts/elements/6052200.jpg?1634341660.9891634
15,Tiles Special,457,https://rebrickable.com/media/parts/elements/6128992.jpg?1451712193.0533504
56,Tools,20,https://rebrickable.com/media/parts/elements/4654448.jpg?1429959612.8468676
36,Transportation - Land,522,https://rebrickable.com/media/parts/elements/9551.jpg?1429959617.176744
35,Transportation - Sea and Air,420,https://rebrickable.com/media/parts/elements/6278548.jpg?1634339691.1484053
30,Tubes and Hoses,181,https://rebrickable.com/media/parts/elements/4620070.jpg?1429959612.4235463
29,Wheels and Tyres,362,https://rebrickable.com/media/parts/elements/234626.jpg?1634339813.6531992
16,Windows and Doors,415,https://rebrickable.com/media/parts/elements/4561915.jpg?1429959611.6969004
47,Windscreens and Fuselage,472,https://rebrickable.com/media/parts/elements/6186655.jpg?1501641719.7294347
43,Znap,22,https://rebrickable.com/media/parts/ldraw/14/32246.png?1553837077.0914412